UniqueId,Name,Started,AcresBurned,PercentContained,Counties,CanonicalUrl,ExternalIncidentLink
00016d5d-1647-49e4-a02a-abf46b8480ae,Dixie Fire,2021-07-13T17:15:00Z,963309,100,Butte,/incidents/2021/7/13/dixie-fire/,https://inciweb.nwcg.gov/incident/7690/
00016d5d-1647-49e4-a02a-abf46b8480ae,Dixie Fire,2021-07-13T17:15:00Z,963309,100,Plumas,/incidents/2021/7/13/dixie-fire/,https://inciweb.nwcg.gov/incident/7690/
00016d5d-1647-49e4-a02a-abf46b8480ae,Dixie Fire,2021-07-13T17:15:00Z,963309,100,Shasta,/incidents/2021/7/13/dixie-fire/,https://inciweb.nwcg.gov/incident/7690/
00016d5d-1647-49e4-a02a-abf46b8480ae,Dixie Fire,2021-07-13T17:15:00Z,963309,100,Lassen,/incidents/2021/7/13/dixie-fire/,https://inciweb.nwcg.gov/incident/7690/
00016d5d-1647-49e4-a02a-abf46b8480ae,Dixie Fire,2021-07-13T17:15:00Z,963309,100,Tehama,/incidents/2021/7/13/dixie-fire/,https://inciweb.nwcg.gov/incident/7690/
d0174b70-8652-4242-bf7f-b00e98a48319,McFarland Fire,2021-07-30T18:44:00Z,122653,100,Shasta,/incidents/2021/7/30/mcfarland-fire/,https://inciweb.nwcg.gov/incident/7746/
d0174b70-8652-4242-bf7f-b00e98a48319,McFarland Fire,2021-07-30T18:44:00Z,122653,100,Trinity,/incidents/2021/7/30/mcfarland-fire/,https://inciweb.nwcg.gov/incident/7746/
d0174b70-8652-4242-bf7f-b00e98a48319,McFarland Fire,2021-07-30T18:44:00Z,122653,100,Tehama,/incidents/2021/7/30/mcfarland-fire/,https://inciweb.nwcg.gov/incident/7746/
2eae3252-74cd-4e96-b25a-20ed828395e2,Walkers Fire,2021-08-16T16:05:54.343Z,8777,100,Tulare,/incidents/2021/8/16/walkers-fire/,https://inciweb.nwcg.gov/incident/7807/
1052ac46-526c-4ca1-a75c-7e91920ee6cb,Fawn Fire,2021-09-22T16:45:00Z,8578,100,Shasta,/incidents/2021/9/22/fawn-fire/,NA
8c1bfb66-4002-498a-ae39-62b584718519,Palisades Fire,2021-05-14T21:50:41Z,1202,100,Los Angeles,/incidents/2021/5/14/palisades-fire/,NA
7b6a10b8-58fb-4906-ad11-dc88fe5b7872,Airola Fire,2021-08-25T14:55:00Z,639,100,Calaveras,/incidents/2021/8/25/airola-fire/,NA
2947b64d-5835-411b-a603-afcbaf8d53d8,Alabama Fire,2021-06-18T02:19:00Z,560,100,Inyo,/incidents/2021/6/18/alabama-fire/,NA
d3668f70-4e85-4962-8e8a-a0b8f1465500,Route Fire,2021-09-11T16:06:47Z,464,100,Los Angeles,/incidents/2021/9/11/route-fire/,https://inciweb.nwcg.gov/incident/7840/
23a7e559-d8b9-4333-bddc-ccf7cb2e7b3e,Kettle Fire,2021-10-11T18:43:59Z,447,100,Kings,/incidents/2021/10/11/kettle-fire/,NA
3bd5d90f-8131-48a0-a02f-1677e5394ce1,Pine Fire,2021-05-12T22:46:39.21Z,442,100,Los Angeles,/incidents/2021/5/12/pine-fire/,NA
6672b6ad-981e-43e8-b4ad-a75285ab9f90,Park Fire,2021-06-17T21:37:07Z,402,100,Butte,/incidents/2021/6/17/park-fire/,NA
46498648-eff1-492f-b88f-1826ecd224a6,Rock Fire,2021-08-24T13:38:00Z,295,100,Riverside,/incidents/2021/8/24/rock-fire/,NA
b7a4e6df-7cef-4920-a585-031324b404f4,Hopkins Fire,2021-09-12T14:15:09Z,257,100,Mendocino,/incidents/2021/9/12/hopkins-fire/,NA
4f6bdd52-abdc-4c93-a48b-7d7adae05cfc,Live Oak Fire,2021-05-27T14:36:00Z,197,100,Mariposa,/incidents/2021/5/27/live-oak-fire/,NA
a26becf4-249f-451e-b8a3-e55032e6df61,Glen Fire,2021-08-11T00:00:00Z,184,100,Yuba,/incidents/2021/8/11/glen-fire/,NA
79aca6f4-ee40-44e8-9dff-069c36c36fc1,Towsley Fire,2021-01-19T15:04:08.613Z,184,100,Los Angeles,/incidents/2021/1/19/towsley-fire/,NA
200d07c4-0457-4421-875b-4140d482a03e,Pinnacles Fire,2021-07-28T00:00:00Z,171,100,Monterey,/incidents/2021/7/28/pinnacles-fire/,NA
8cfa988a-cf5d-418c-8d4d-e0be072e397c,Westward Fire,2021-08-25T14:17:00Z,160,100,Riverside,/incidents/2021/8/25/westward-fire/,NA
8622a38c-551f-4ef0-9b25-0d0280ace921,Newell Fire,2021-10-11T20:02:23Z,132,100,Napa,/incidents/2021/10/11/newell-fire/,NA
215529d8-6c0a-4dfa-8d6f-342a5666e1f2,Diablo Fire,2021-07-11T09:22:05Z,128,100,Contra Costa,/incidents/2021/7/11/diablo-fire/,NA
9692e02d-4a87-48b7-b261-f83f4a951642,Beswick Fire,2021-06-28T18:14:00Z,118,100,Siskiyou,/incidents/2021/6/28/beswick-fire/,NA
2b42f885-f296-4659-98e0-c33585215fa9,Rock Fire,2021-06-15T17:14:55Z,108,100,Shasta,/incidents/2021/6/15/rock-fire/,NA
